a 啊
djyg 独具一格
djyi 单一
djyj 单眼
djyr 但愿
djyz 担忧
djzi 单字
djzv 当家做主
djdx 东京大学
dkan 定案
dkbb 大可不必
dkbc 订报
dkbj 顶班
dkbm 定编
dkbu 顶部
dkcg 顶层
dkdd 顶戴
dkdh 叮当
dkdj 订单
dkdm 定点
dkdn 定调
dkdo 顶多
dkdr 顶端
dkds 叮咚
dkdu 定都
dkdy 大快朵颐
dkee 定额
dkfg 顶峰
dkfh 订房
dkfb 大开方便之门
dkgz 订购
dkgc 定稿
dkge 定格
dkgv 定规
dkgs 顶功
dkhv 定会
dkho 订货
dkhu 多快好省
dkhy 订婚
dkjk 定金
dkji 顶级
dkjm 顶尖
dkju 定居
dkjx 定价
dkld 大开绿灯
dkle 多亏了
dkli 定力
dkll 定量
dklv 定律
dkly 定论
dkmk 定名
dkng 定能
dknh 豆蔻年华
dknk 叮咛
dkpn 订票
dkpg 顶棚
dkpk 顶屏
dkpj 盯盘
dkpw 顶配
dkqi 定期
dkqk 定亲
dkqj 丢盔弃甲
dkqk 定情
dkrj 定然
dkrx 大快人心
dkti 顶替
dktm 顶天
dktx 刀口舔血
dkti 打开天窗说亮话
dkuc 盯梢
dkug 鼎盛
dkuj 大开杀戒
dkuh 盯上
dkui 定时
dkvd 待客之道
dkve 盯着
dkvf 顶针
dkvg 订正
dkvi 定制
dkvl 顶撞
dkvu 叮嘱
dkww 定位
dkwv 大块文章
dkxx 定下
dkxk 定心
dkxj 丢盔卸甲
dkxk 定型
dkxl 定向
dkxq 钉鞋
dkyc 叮咬
dkyi 定义
dkyj 大开眼界
dkyr 定员
dkys 顶用
dkyt 订阅
dkyu 定于
dkzo 定做
dkzi 钉子
dkzu 鼎足
dkzv 顶嘴
dlba 得了吧
dlbr 得理不饶人
dlbl 的黎波里
dlby 得来不易
dlcu 大老粗
dldo 多伦多
dldd 多劳多得
dldf 颠鸾倒凤
dldq 颠来倒去
dldw 独来独往
dlet 夺路而逃
dlfs 独领风骚
dlgj 第六感
dlhg 度量衡
dlhd 雕梁画栋
dljy 邓丽君
dljx 打了鸡血
dlle 带来了
dlmm 对立面
dlmb 顶礼膜拜
dlpy 得了便宜还卖乖
dlqu 多了去
dlql 多了去了
dlqb 得来全不费工夫
dlqg 等量齐观
dlrf 代理人
dlrh 地利人和
dltm 大冷天
dlti 独联体
dlth 地老天荒
dltu 大浪淘沙
dlui 大理石
dlvu 顶梁柱
dlvc 栋梁之材
dlvi 大力支持
dlwu 得陇望蜀
dlxk 独立性
dlxi 东拉西扯
dlxv 鼎力相助
dlyr 大老远
dlym 大老爷们
dlzu 独龙族
dlzv 独立自主
dmar 道貌岸然
dmbc 电报
dmbh 电棒
dmbi 大门不出
dmbj 垫板
dmbi 独木不成林
dmbn 电表
dmbo 颠簸
dmbw 垫背
dmbi 大门不出二门不迈
dmcd 点菜
dmch 典藏
dmci 电磁
dmco 点错
dmda 电大
dmdc 颠倒
dmdd 大名鼎鼎
dmdh 典当
dmdi 垫底
dmdk 奠定
dmdm 点点
dmds 电动
dmdu 电镀
dmdy 大模大样
dmei 夺门而出
dmff 淀粉
dmfg 巅峰
dmfj 典范
dmfu 颠覆
dmfw 电费
dmge 点歌
dmgd 当面鼓对面锣
dmgu 典故
dmgs 电工
dmhx 电话
dmhj 电焊
dmho 点火
dmhv 电汇
dmii 电池
dmie 电车
dmix 大梦初醒
dmji 点击
dmjk 电竞
dmjn 垫脚
dmjq 电解
dmjq 碘酒
dmjx 店家
dmkd 点开
dmkl 癫狂
dmkr 垫款
dmli 典礼
dmlj 电缆
dmll 电量
dmln 电疗
dmlq 电流
dmlu 电路
dmld 当面锣对面鼓
dmmm 店面
dmmf 店门
dmmk 点名
dmnc 电脑
dmng 电能
dmnm 惦念
dmng 多米诺骨牌
dmnv 独木难支
dmnj 多米尼加
dmnk 多米尼克
dmpk 点评
dmpo 点破
dmpu 店铺
dmqn 独木桥
dmqi 电器
dmqq 点球
dmqw 到目前为止
dmre 电热
dmrj 点燃
dmrs 电容
dmru 玷辱
dmsr 点算
dmtd 电台
dmth 殿堂
dmti 电梯
dmts 电筒
dmtz 点头
dmuh 电商
dmud 多谋善断
dmuy 低眉顺眼
dmue 点射
dmui 电视
dmuj 电扇
dmuu 点数
dmva 电闸
dmve 垫着
dmvf 点阵
dmvi 垫支
dmvj 电站
dmvu 店主
dmvv 点缀
dmvy 低眉折腰
dmwh 电网
dmwj 电玩
dmwu 玷污
dmxk 电信
dmxg 等米下锅
dmxk 典型
dmxm 电线
dmxt 点穴
dmxx 殿下
dmxy 电讯
dmyk 电影
dmya 电压
dmyr 电源
dmyj 碘盐
dmyz 电邮
dmch 滇藏
dmzi 电子
dmzj 点赞
dmzr 电钻
dmzu 电阻
tnbo 调拨
dnbd 大逆不道
dnbi 凋敝
dnbk 调兵
dnbs 大难不死
dnck 顿涅茨克
dndd 吊带
dndg 吊灯
tndh 调档
dndk 吊顶
dnds 调动
dndu 调度
dndv 掉队
dner 钓饵
dngv 吊诡
dngx 吊挂
dnhe 多瑙河
dnhr 调换
dnhv 调回
dnhx 雕花
dnia 调查
dnie 吊车
dnij 貂蝉
dnil 吊床
dniu 调出
dniy 大年初一
dnjk 掉进
dnji 调集
dnjx 掉价
dnke 雕刻
dnle 掉了
dnli 调离
dnlk 凋零
dnlo 掉落
dnlt 大难临头
dnlw 掉泪
dnlt 大难临头各自飞
dnmj 刁蛮
dnmk 刁民
dnmf 调门
dnnj 刁难
dnpd 吊牌
dnpi 貂皮
dnpk 吊瓶
dnqm 调遣
dnrf 调任
dnru 调入
dnse 掉色
dnsh 吊丧
dnsi 吊死
dnsu 雕塑
dntz 掉头
dntq 对牛弹琴
dnui 雕饰
dnva 掉渣
dnve 吊着
dnvf 吊针
dnvi 调职
dnvo 雕琢
dnvr 掉转
dnvv 吊坠
dnwj 刁顽
dnwh 凋亡
dnxx 掉下
dnxb 东南西北
dnxl 雕像
dnxm 掉线
dnxn 吊销
dnxq 凋谢
dnya 掉牙
dnyj 调研
dnys 调用
dnyt 调阅
dnyu 钓鱼
dnyl 多年以来
dnzd 掉在
dnzi 调子
dnzr 刁钻
dnzz 调走
dnzm 当牛做马
dnlu 对你来说
dnld 调来
dndx 东南大学
doai 多爱
dobj 多半
dobi 躲避
dobu 踱步
dobm 多变
dobn 夺标
doci 多次
docd 多彩
docg 多层
doch 躲藏
doda 多大
dode 夺得
dodm 多点
dodo 多多
dodc 躲到
dofh 多方
dogc 多高
doge 多个
dogo 躲过
dogr 夺冠
dogx 多寡
dohc 多好
doha 多哈
doxk 多行
dohv 夺回
dohk 多坏
dovh 多长
doiu 多处
doia 多差
doij 多产
dovs 多重
doii 多吃
doji 多极
dojm 多见
dojn 剁椒
dojq 多久
dojx 多家
dojk 多金
dokd 躲开
dokr 多款
dokk 多快
doks 多空
dokv 多亏
dole 多了
dolo 堕落
dolv 多虑
dome 多么
domg 多梦
domk 多名
domm 多面
domu 夺目
domj 多慢
donm 多年
donj 多难
dopm 多篇
doqk 多情
doqi 多起
doqr 夺权
doqu 夺取
dorf 多人
dorh 躲让
dori 多日
doru 堕入
doso 哆嗦
dotm 多天
dotd 堕胎
dotz 多头
douc 多少
doui 多事
douj 躲闪
douo 多说
douu 多数
douz 剁手
dovd 躲债
dove 躲着
dovs 多种
dovi 多汁
dowf 多问
dowj 多晚
doxk 多心
doxk 惰性
doxl 多想
doxq 多谢
doxr 多选
doxx 夺下
doyu 多余
doyk 多音
doyh 多样
doyr 多远
doys 多用
doyt 多月
doyi 多疑
doyy 多云
dozd 躲在
doze 多则
dozv 多嘴
dozz 夺走
dqbc 谍报
dpbp 颠扑不破
dqdc 跌倒
dqda 跌打
dqdh 跌宕
dqdq 爹爹
dqdd 迭代
dqfu 跌幅
dqig 叠成
dqjn 跌跤
dqjx 叠加
dqle 跌了
dpll 颠沛流离
dqlo 跌落
dpmu 大屏幕
dqma 爹妈
dqnl 爹娘
dqpm 碟片
dqpo 跌破
dqqu 跌去
dqru 跌入
dqsi 跌死
dqsv 跌碎
dqtk 跌停
dpug 打破砂锅问到底
dquh 跌伤
dqui 跌势
dqvi 跌至
dpwu 肚皮舞
dpxm 地平线
dpxc 东拼西凑
dpxj 独辟蹊径
dpxu 短篇小说
dqxt 喋血
dqys 蝶泳
dpym 得便宜卖乖
dpyj 跌破眼镜
dqzi 碟子
dqbr 刀枪不入
dqbz 底气不足
dqcg 大气层
dqdn 丢掉
dqdc 丢到
dqdl 大起大落
dqgw 丢给
dqhx 电气化
dqhi 荡气回肠
dqiz 丢丑
dqjj 刀枪剑戟
dqle 丢了
dqlm 丢脸
dqmq 打情骂俏
dqpb 大气磅礴
dqpl 大权旁落
dqpm 单枪匹马
dqqi 丢弃
dqqm 丢钱
dqrf 丢人
dqrc 的确如此
dqrk 刀枪入库
dqrv 大巧若拙
dqsz 得其所哉
dqui 丢失
dquz 底气十足
dquj 大千世界
dqve 当权者
dqwr 敌强我弱
dqwg 但求无过
dqwi 大器晚成
dqxk 东瞧西看
dqxx 丢下
dqya 大气压
dqzi 兜圈子
dqzw 大权在握
dran 断案
drbj 短板
drbi 断臂
drbj 大人不记小人过
drbo 短波
drbr 当仁不让
drbd 打人不打脸
drcu 短促
drcd 端菜
drcg 断层
drci 断词
drdc 短刀
drdh 断档
drdk 断定
drdm 断电
drdr 短短
drdy 大仁大义
drfa 短发
drgf 断根
drgh 洞若观火
drgy 短棍
drhy 断魂
drhz 断后
driu 短处
dria 端茶
drig 短程
drih 断肠
driv 淡然处之
drjm 短见
drjn 断交
drjt 断绝
drju 断句
drjw 待人接物
drkd 断开
drkm 遁入空门
drkr 短款
drku 短裤
drkz 端口
drle 断了
drll 断粮
drlm 锻炼
drlo 段落
drlq 断裂
drlq 断流
drlu 短路
drmk 短命
drmm 断面
drmj 呆若木鸡
drnd 断奶
drni 端倪
drnm 多如牛毛
drpm 短片
drpc 短跑
drpk 短评
drqi 短期
drqm 短浅
drqn 断桥
drqt 短缺
drqy 短裙
drrj 断然
drrn 度日如年
drri 得饶人处且饶人
drsa 夺人所爱
drsh 夺人所好
drss 断送
drtj 电热毯
drtt 动如脱兔
drtu 短途
drug 代人受过
druh 端上
drui 短视
druv 断水
druz 短寿
drve 端着
drvg 端正
drvl 端庄
drvm 达人知命
drwa 短袜
drwc 荡然无存
drwf 短文
drwh 断网
drwu 端午
drww 段位
drxk 短信
drxl 端详
drxm 断线
drxn 短小
drxp 动人心魄
drxq 短袖
drxx 动人心弦
drxy 丢人现眼
dryu 短语
dryj 断言
dryd 低人一等
dryd 大人有大量
dryx 淡然一笑
drzj 短暂
drzc 锻造
drzi 段子
drzo 端坐
dsbi 动笔
dsbm 东边
dsbu 东部
dsbw 东北
dsci 动词
dscu 动粗
dsde 懂得
dsdh 动荡
dsds 东东
dsfg 东风
dsfh 东方
dsfu 洞府
dsfw 东非
dsge 第三个
dsgj 动感
dsgo 东郭
dsgr 东莞
dsgs 动工
dsgu 冬菇
dsgx 冬瓜
dshx 动画
dshd 东海
dshe 恫吓
dshh 懂行
dshj 东汉
dsie 动车
dsia 洞察
dsij 动产
dsil 冻疮
dsir 洞穿
dsji 冬季
dsjk 动静
dsjq 冻结
dsjx 东家
dsjl 冻僵
dsjd 第四季度
dskd 洞开
dsku 洞窟
dskz 洞口
dsle 懂了
dsli 动力
dsll 栋梁
dslq 冻裂
dslr 动乱
dsls 丢三落四
dslu 东路
dsly 第三轮
dsma 懂吗
dsmd 动脉
dsmf 东门
dsmg 东盟
dsmj 动漫
dsmm 冬眠
dsmk 第三名
dsnj 东南
dsng 动能
dsnu 动怒
dsou 东欧
dspo 东坡
dsqi 动气
dsqk 动情
dsrf 动人
dsri 冬日
dsrs 动容
dssi 冻死
dssy 冬笋
dstd 动态
dsti 胴体
dstj 动弹
dstk 动听
dstm 冬天
dsuf 动身
dsug 东升
dsuh 冻伤
dsui 懂事
dsuj 东山
dsuz 动手
dsve 动辄
dsvi 冬至
dsvj 东站
dsvl 冬装
dswu 动物
dsxk 动心
dsxi 东西
dsxl 动向
dsxs 低三下四
dsxt 洞穴
dsxx 冬夏
dsxy 冬训
dsyr 动员
dsya 东亚
dsyk 动因
dsyc 动摇
dsyk 东瀛
dsys 动用
dsyy 冬运
dszo 动作
dszu 侗族
dszv 动嘴
dtbd 动弹不得
dtbh 当头棒喝
dtby 低头不语
dtbj 低头不见抬头见
dtdn 呆头呆脑
dtdh 得天独厚
dtfd 洞天福地
dtfy 党同伐异
dtgv 大庭广众
dthu 洞庭湖
dthy 点头哈腰
dtir 打铁趁热
dtld 顶天立地
dtlu 对他来说
dtqk 大提琴
dtru 登堂入室
dttd 断头台
dttg 打退堂鼓
dttu 道听途说
dttx 刀头舔血
dtue 地头蛇
dtus 顶头上司
dtvf 打头阵
dtxk 独特性
dtxd 大体相当
dtxm 东涂西抹
dtxy 大同小异
dtxz 大题小作
dtyu 等同于
dtyb 当头一棒
duai 独爱
dubm 多少遍
dubi 独臂
duba 独霸
dubc 读报
dubd 独白
dubf 读本
dubj 督办
dubl 滴水不漏
dubo 赌博
dubh 大事不糊涂
dubu 独步
dubd 对事不对人
ducb 得失参半
ducc 毒草
ducd 独裁
duci 毒刺
duco 读错
ducu 督促
duda 毒打
dudc 独到
dudu 嘟嘟
duds 读懂
dudf 大是大非
dudj 大手大脚
dudk 笃定
dudq 嗲声嗲气
dudr 独断
dudx 大树底下好乘凉
dufj 大煞风景
duge 多少个
dugo 度过
dugu 独孤
dugv 赌鬼
dugy 赌棍
duhd 毒害
duhe 渡河
duhz 到时候
duhf 妒恨
duhh 刀山火海
duho 妒火
duhx 大事化小
duhy 大受欢迎
duia 督察
duie 堵车
duih 赌场
duij 点石成金
duil 独创
duir 渡船
duis 毒虫
duiu 独处
duil 大水冲了龙王庙
dujk 镀金
dujh 大声疾呼
duji 妒忌
dujq 渡劫
dujq 毒酒
dujl 渡江
dujr 杜鹃
dujt 杜绝
duju 独居
dujx 独家
duka 读卡
dukf 独守空房
dukh 杜康
dukz 渡口
dula 毒辣
dule 读了
duli 独立
dulj 独揽
dulq 毒瘤
dull 肚量
dulm 电闪雷鸣
duly 渡轮
dumf 独门
dumn 独苗
dumo 镀膜
dunh 嘟囔
duns 嘟哝
dunj 肚腩
dunm 多少年
dunq 多少年前
dunl 多少年来
duni 迪士尼
dupk 毒品
dupi 肚皮
dupw 读书破万卷
dupn 打水漂
dupv 大事铺张
duqi 赌气
duqm 赌钱
duqq 赌球
duqu 读取
durf 当事人
duri 度日
duru 低收入
duse 堵塞
dusi 毒死
dusq 大势所趋
dusu 毒素
dusw 大失所望
dute 独特
duti 独体
dutu 赌徒
duty 独吞
dutd 电视台
dutx 大赦天下
duua 毒杀
duue 毒蛇
duuf 独身
duug 独生
duui 都市
duuu 读书
duuz 毒手
duvd 赌债
duve 读者
duvi 渎职
duvj 独占
duvo 赌桌
duvq 多事之秋
duvr 杜撰
duvu 赌注
duvz 赌咒
duwj 读完
duwo 赌窝
duwu 读物
duwf 但说无妨
duwy 多说无益
duwq 道是无晴却有晴
duxq 读写
duxk 毒性
duxl 独享
duxn 毒枭
duxm 独显
duxq 低声下气
duya 毒牙
duyk 读音
duyc 毒药
duye 毒液
duyj 读研
duyd 多少有点
duyx 多少有些
duyq 大势已去
duyv 独树一帜
duyz 独有
duzi 肚子
duzv 嘟嘴
duzn 独生子女
duzq 东山再起
duzz 独奏
dvan 对岸
dvat 独占鳌头
dvay 斗志昂扬
dvba 对吧
dvbd 对白
dvbi 对比
dvbj 对半
dvci 对此
dvce 对策
dvco 对错
dvdc 都知道
dvda 对答
dvdh 大智大慧
dvdd 对待
dvdg 对等
dvdi 对敌
dvdj 动辄得咎
dvdn 对调
dvdq 堆叠
dvdy 斗智斗勇
dvdv 打着打着
dvfh 对方
dvfu 对付
dvfv 大政方针
dvfy 洞中方一日
dvgj 对着干
dvge 对歌
dvhc 对号
dvhr 兑换
dvht 大展宏图
dvhx 对话
dvhu 打招呼
dvhd 地中海
dvif 对称
dvis 对冲
dvji 堆积
dvjl 兑奖
dvjn 对角
dvjq 对接
dvjt 对决
dvju 对局
dvjx 对家
dvjg 党政机关
dvkh 对抗
dvkd 对开
dvkz 对口
dvle 对了
dvli 对立
dvlm 对联
dvlq 队列
dvlq 对流
dvlu 对路
dvlw 对垒
dvli 打肿脸充胖子
dvmm 对面
dvma 对吗
dvmf 对门
dvmj 堆满
dvnw 对内
dvou 对偶
dvqn 等着瞧
dvqg 大张旗鼓
dvqi 对齐
dvqj 大展拳脚
dvqy 断章取义
dvrf 对人
dvry 大智若愚
dvtz 对头
dvui 对视
dvuu 对数
dvuv 对谁
dvuv 对谁
dvux 斗折蛇行
dvuz 对手
dvvc 对照
dvve 对着
dvvf 对阵
dvvg 对症
dvvh 队长
dvvi 对峙
dvvj 对战
dvvr 对转
dvvy 对准
dvwd 对外
dvwg 敌众我寡
dvwk 当之无愧
dvwu 队伍
dvww 对位
dvwx 得之我幸
dvxq 大闸蟹
dvxj 胆战心惊
dvxk 队形
dvxl 对象
dvxm 兑现
dvxt 东征西讨
dvxw 东张西望
dvxx 对虾
dvxy 对症下药
dvyk 对饮
dvyi 对弈
dvyj 对眼
dvyk 对应
dvyq 动之以情
dvyr 队员
dvyu 对于
dvyx 大专院校
dvyz 队友
dvzi 对子
dwbt 大为不同
dwcl 断无此理
dwdl 独往独来
dwez 达斡尔族
dwjq 端午节
dwjx 帝王将相
dwju 读万卷书
dwkz 吊胃口
dwsr 睹物思人
dwuj 党委书记
dwvj 当务之急
dwvd 弹丸之地
dwww 大无畏
dwxf 弹无虚发
dwyr 动物园
deyz 得有
dwle 都忘了
dwlu 对我来说
dxer 店小二
dxld 掉下来
dxxq 大小写
dxxj 带薪休假
dxxk 大猩猩
dxal 大兴安岭
dxbm 大小便
dxbg 打小报告
dxby 大学毕业
dxby 多行不义必自毙
dxbk 大卸八块
dxdc 单行道
dxdb 大喜大悲
dxdh 涤瑕荡秽
dxfh 东西方
dxfv 断线风筝
dxgv 胆小鬼
dxgw 大喜过望
dxhr 都喜欢
dxhf 旦夕祸福
dxju 电信局
dxjh 短小精悍
dxjn 妒贤嫉能
dxjt 大相径庭
dxmc 大熊猫
dxnu 倒行逆施
dxnb 东西南北
dxpu 胆小怕事
dxqd 大行其道
dxru 胆小如鼠
dxsi 单相思
dxsd 大写锁定
dxtm 大兴土木
dxug 大学生
dxui 地下室
dxut 大显神通
dxuu 大显身手
dxuv 等闲视之
dxvb 等闲之辈
dxvj 旦夕之间
dxvp 断袖之癖
dxwj 定心丸
dxyh 大西洋
dxyu 得心应手
dxzu 东乡族
dxzw 到现在为止
dxig 大学城
dxqj 大学期间
dxqu 独行其是
dxxy 大学校园
dxqy 大型企业
dybm 第一遍
dyba 大洋彼岸
dybc 大言不惭
dybl 倒也罢了
dybu 第一步
dybf 东亚病夫
dyci 第一次
dycb 断垣残壁
dycd 炖菜
dyco 顿挫
dycu 敦促
dydb 大摇大摆
dydm 蹲点
dydr 大鱼大肉
dydx 大眼瞪小眼
dydz 多有得罪
dyfu 蹲伏
dyfv 打预防针
dyge 第一个
dygj 顿感
dyhc 顿号
dyhl 敦煌
dyhz 敦厚
dyhe 等一会儿
dyih 打圆场
dyix 大鱼吃小鱼
dyji 打印机
dyjh 答疑解惑
dyjn 钝角
dyjt 顿觉
dyjx 东一句西一句
dyju 第一件事
dykw 大有可为
dyly 第一轮
dylt 东一榔头西一棒
dylr 大义凛然
dyls 独眼龙
dylt 东一榔头西一棒子
dymk 第一名
dymq 大义灭亲
dymu 得意门生
dynm 第一年
dypd 盾牌
dypt 大雨滂沱
dypp 大雨瓢泼
dyby 大有裨益
dyqx 掉以轻心
dyqq 大异其趣
dyqi 低吟浅唱
dyrf 代言人
dyrc 但愿如此
dyrj 顿然
dyrz 大有人在
dyth 炖汤
dytm 第一天
dytd 钓鱼台
dytj 第一桶金
dyth 当一天和尚撞一天钟
dyug 顿生
dyui 顿时
dyux 德艺双馨
dyub 多一事不如少一事
dyuj 大意失荆州
dyve 蹲着
dyvv 地缘政治
dyvt 大雅之堂
dyvz 得意之作
dywe 独一无二
dywu 顿悟
dyww 吨位
dywx 得意忘形
dyxb 东摇西摆
dyxk 遁形
dyxx 蹲下
dyyh 都一样
dyye 第一页
dyyj 第一眼
dyyd 盗亦有道
dyyy 大隐隐于市
dyyr 电影院
dyyy 得意洋洋
dyzi 多音字
dyzu 顿足
dyzw 大有作为
dzbi 都比
dzbj 豆瓣
dzbm 陡变
dzbu 都不
dzbx 胆子不小
dzcg 都曾
dzdc 多姿多彩
dzdi 兜底
dzdj 斗胆
dzdn 多灾多难
dzds 抖动
dzdu 多嘴多舌
dzdz 豆豆
dzee 窦娥
dzem 抵足而眠
dzfa 斗法
dzff 豆粉
dzfg 兜风
dzfq 弟子服其劳
dzfu 豆腐
dzgw 都给
dzgf 逗哏
dzgg 刁钻古怪
dzgv 待字闺中
dzgk 都怪
dzkk 都快
dzhc 逗号
dzhf 都很
dzhv 都会
dzhx 豆花
dzii 豆豉
dzjl 豆浆
dzjn 豆角
dzji 打字机
dzjs 断子绝孙
dzjj 达则兼济天下
dzke 都可
dzkb 刁钻刻薄
dzkz 豆蔻
dzle 逗乐
dzlg 戴罪立功
dzli 兜里
dzlo 抖落
dzlq 逗留
dzlw 豆类
dzmw 都没
dzmn 豆苗
dzng 都能
dznd 豆奶
dznq 斗牛
dzou 斗殴
dzpg 斗篷
dzpo 陡坡
dzql 打砸抢
dzqi 斗气
dzqn 陡峭
dzqr 兜圈
dzqu 都去
dzrj 陡然
dzrf 逗人
dzsz 抖擞
dzsf 鼎足三分
dzui 都是
dzua 豆沙
dzuo 都说
dzuz 兜售
dzuw 电子商务
dzvg 斗争
dzvh 打嘴仗
dzvi 斗志
dzvu 鼎足之势
dzwv 大做文章
dzxk 都行
dzxl 都想
dzxn 逗笑
dzya 豆芽
dzyk 抖音
dzyc 都要
dzyr 独自一人
dzys 都用
dzyz 都有
dzyx 电子邮箱
dzzg 陡增
dzzd 都在
dzzi 豆子
dzzd 刀子嘴豆腐心
dzzv 斗嘴
dzpm 动作片
ebee 饿不饿
ebfg 耳边风
ebhv 而不会
ebhz 耳鼻喉
ebhk 耳鼻喉科
ebjr 二八佳人
eble 饿扁了
ebqu 而不去
ebui 而不是
ebys 而不用
ebsi 饿不死
ebsm 耳鬓厮磨
ebng 而不能
ebwu 二百五
ecmm 耳聪目明
edby 儿大不由娘
edjl 二等奖
edyj 恩断义绝
eeaa 恩恩爱爱
eeba 恶霸
eebc 恶报
eebu 恶补
eedu 额度
eedj 鹅蛋
eeds 鄂尔多斯
eedk 额定
eedz 恶斗
eegc 恶搞
eego 恶果
eegv 恶鬼
eegy 恶棍
eegz 恶狗
eehx 恶化
eehc 噩耗
eehl 鹅黄
eeiz 恶臭
eeji 恶疾
eejn 阿胶
eele 饿了
eelq 恶劣
eemc 鹅毛
eemg 噩梦
eemk 恶名
eemo 恶魔
eemw 峨眉
eenl 额娘
eenn 厄尔尼诺
eeno 婀娜
eepk 恶评
eeqr 恶犬
eerj 愕然
eesi 饿死
eesu 恶俗
eetz 额头
eetu 恶徒
eeua 扼杀
eeuz 扼守
eevi 遏制
eeva 讹诈
eeve 饿着
eevj 恶战
eevu 扼住
eewd 额外
eewf 俄文
eewj 扼腕
eexk 恶心
eexi 恶习
eexk 恶性
eeyc 扼要
eeyi 恶意
eeyu 鳄鱼
eeyy 厄运
eezw 恶贼
efvy 二分之一
egbd 峨冠博带
egde 厄瓜多尔
egmy 恶贯满盈
egqj 耳根清净
eger 恩格尔
egex 恩格尔系数
egtz 二锅头
ehbu 二话不说
ehhf 恶狠狠
ehmu 二话没说
ehpu 饿虎扑食
ehyi 二合一
ehyk 儿化音
eiuz 二传手
ejdu 二季度
ejib 恩将仇报
ejvi 二进制
eliz 鄂伦春族
elsi 俄罗斯
eltl 厄立特里亚
elvn 而立之年
elxv 二龙戏珠
elzi 二流子
emdx 鹅毛大雪
emtf 阿弥陀佛
emuj 峨眉山
emvv 恶名昭彰
emyx 耳目一新
enai 恩爱
enci 恩赐
ende 恩德
endm 恩典
endz 婀娜多姿
engs 恩公
nnhg 嗯哼
enhv 恩惠
eniz 恩仇
eniq 儿女成群
enji 二年级
enqk 恩情
enqi 儿女情长
enrf 恩人
enui 恩师
envy 恩准
enyr 恩怨
enyi 恩义
enze 恩泽
epfg 耳旁风
erbu 而不
erba 二八
erbd 二百
erbi 二笔
erbm 耳边
erbw 耳背
erci 二次
erdd 二代
erdg 二等
erdk 而定
erdo 耳朵
erdu 二度
erfw 而非
erff 二分
erfh 二房
erge 儿歌
ergf 耳根
ergl 耳光
ergo 而过
erhr 耳环
erhz 而后
erhd 洱海
erhu 二胡
erhv 二回
erhy 二婚
erig 而成
eriv 耳垂
erjk 而今
erji 耳机
erke 儿科
erks 耳孔
erld 而来
erli 而立
erln 饵料
erlq 二流
erls 耳聋
erlw 二类
erly 而论
ermu 耳目
ermd 耳麦
ermk 耳鸣
ermo 耳膜
ermr 耳濡目染
ernv 儿女
erng 而能
ernd 二奶
erpj 耳畔
erqq 而且
erqi 二期
erqu 而去
errf 二人
erri 二日
ersd 耳塞
ersi 而死
ersy 儿孙
